
avgpt	v2	v2 err stat.	v2 err per.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.4003	0.0487	0.0031	0.0630	0.0221	0.1440	0.1310	0.0692	
0.7147	0.0511	0.0019	0.0364	0.0718	0.0176	0.0548	0.0549	
1.2143	0.0565	0.0042	0.0736	0.0262	0.3499	0.0661	0.0577	
1.7160	0.0676	0.0071	0.1050	0.0230	0.0553	0.1170	0.0010	
2.2177	0.0581	0.0114	0.1956	0.0617	1.1494	0.1538	0.4174	
2.7196	0.0891	0.0122	0.1366	0.3269	0.9346	0.2391	0.3592	
3.3930	0.0786	0.0165	0.2099	0.0059	0.1225	0.5091	0.2117	
4.4083	0.0308	0.0304	0.9867	1.4293	3.3629	2.8251	1.5798	
5.4221	-0.0246	0.0616	-2.5043	3.7597	3.8527	0.1927	2.3875	

avgpt	v2	v2 err stat.	v2 err per.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.4008	0.0532	0.0071	0.1328	0.1449	0.1192	0.1745	0.3103	
0.7155	0.0426	0.0032	0.0753	0.1318	0.3076	0.1748	0.2835	
1.2148	0.0542	0.0075	0.1382	0.0186	0.0580	0.0802	0.6087	
1.7163	0.0717	0.0116	0.1615	0.1992	0.1047	0.0935	0.0799	
2.2179	0.0713	0.0124	0.1743	0.1135	0.3657	0.2481	0.2125	
2.7196	0.0519	0.0149	0.2869	0.2298	0.3647	0.4846	0.0235	
3.3929	0.0995	0.0230	0.2313	0.4588	0.6175	0.2967	0.1470	
4.4082	0.0653	0.0445	0.6822	0.1900	1.1963	0.8533	0.2428	
5.4218	-0.0411	0.0987	-2.4043	1.4246	1.5489	2.9570	2.0130	

avgpt	v2	v2 err stat.	v2 err per.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.4012	0.0373	0.0037	0.1001	0.4063	0.3895	0.2530	0.6362	
0.7163	0.0452	0.0021	0.0467	0.0407	0.0534	0.1221	0.1055	
1.2154	0.0576	0.0045	0.0781	0.1128	0.2198	0.1291	0.1544	
1.7169	0.0745	0.0080	0.1080	0.4223	0.2236	0.2653	0.2398	
2.2183	0.0592	0.0094	0.1593	0.2565	0.2004	0.1822	0.2065	
2.7200	0.0720	0.0161	0.2230	0.3324	0.4916	0.2481	0.7277	
3.3935	0.0461	0.0277	0.6012	0.2546	0.8958	0.2123	0.6850	
4.4084	0.0924	0.0353	0.3818	0.2980	0.5473	0.3353	0.9476	
5.4219	0.0992	0.0529	0.5331	0.3642	1.5141	0.5948	0.0159	

avgpt	v2	v2 err stat.	v2 err per.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.4017	0.0369	0.0051	0.1382	0.0206	0.2659	0.1418	0.0592	
0.7167	0.0422	0.0028	0.0660	0.2509	0.2132	0.1235	0.1102	
1.2156	0.0598	0.0045	0.0751	0.0407	0.1155	0.1060	0.1386	
1.7169	0.0585	0.0116	0.1992	0.3154	0.4341	0.1482	0.3059	
2.2182	0.0760	0.0165	0.2173	0.3050	0.0177	0.0155	0.0966	
2.7198	0.0769	0.0264	0.3436	0.1308	0.3264	0.1438	0.2007	
3.3929	0.0845	0.0221	0.2619	0.4452	0.0779	0.2322	0.9234	
4.4074	0.1263	0.0419	0.3321	0.4244	0.2534	1.0168	0.7672	
5.4217	0.1095	0.0712	0.6501	0.9834	0.1455	0.6565	0.1283	

avgpt	v2	v2 err stat.	v2 err per.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.4021	0.0460	0.0063	0.1379	0.0748	0.0994	0.1818	0.0935	
0.7170	0.0477	0.0034	0.0716	0.0757	0.0763	0.2450	0.0582	
1.2158	0.0557	0.0073	0.1311	0.3178	0.0876	0.3913	0.0633	
1.7171	0.0623	0.0104	0.1672	0.0048	0.0829	0.2537	0.1548	
2.2182	0.0622	0.0171	0.2755	0.1973	0.3137	1.2248	0.5028	
2.7197	0.0808	0.0232	0.2874	0.2973	0.6820	0.5272	0.1581	
3.3923	0.0574	0.0219	0.3823	0.0929	0.0790	1.0331	0.5900	
4.4071	0.1094	0.0502	0.4592	0.1581	0.0902	0.3616	1.4314	
5.4205	-0.0286	0.0774	-2.7077	1.4557	1.0254	0.4372	4.0604	
